"target","location","horizon","target_end_date","output_type_id","oracle_value"
"wk inc flu hosp","21",2,2024-11-02,NA,7
"wk inc flu hosp","21",3,2024-11-02,NA,7
"wk inc flu hosp","22",0,2024-11-02,NA,27
"wk inc flu hosp","22",1,2024-11-02,NA,27
"wk inc flu hosp","22",2,2024-11-02,NA,27
"wk inc flu hosp","22",3,2024-11-02,NA,27
"wk inc flu hosp","25",0,2024-11-02,NA,3
"wk inc flu hosp","25",1,2024-11-02,NA,3
"wk inc flu hosp","25",2,2024-11-02,NA,3
"wk inc flu hosp","25",3,2024-11-02,NA,3
"wk inc flu hosp","24",0,2024-11-02,NA,4
"wk inc flu hosp","24",1,2024-11-02,NA,4
"wk inc flu hosp","24",2,2024-11-02,NA,4
"wk inc flu hosp","24",3,2024-11-02,NA,4
"wk inc flu hosp","23",0,2024-11-02,NA,0
"wk inc flu hosp","23",1,2024-11-02,NA,0
"wk inc flu hosp","23",2,2024-11-02,NA,0
"wk inc flu hosp","23",3,2024-11-02,NA,0
"wk inc flu hosp","26",0,2024-11-02,NA,7
"wk inc flu hosp","26",1,2024-11-02,NA,7
"wk inc flu hosp","26",2,2024-11-02,NA,7
"wk inc flu hosp","26",3,2024-11-02,NA,7
"wk inc flu hosp","27",0,2024-11-02,NA,4
"wk inc flu hosp","27",1,2024-11-02,NA,4
"wk inc flu hosp","27",2,2024-11-02,NA,4
"wk inc flu hosp","27",3,2024-11-02,NA,4
"wk inc flu hosp","29",0,2024-11-02,NA,13
"wk inc flu hosp","29",1,2024-11-02,NA,13
"wk inc flu hosp","29",2,2024-11-02,NA,13
"wk inc flu hosp","29",3,2024-11-02,NA,13
"wk inc flu hosp","28",0,2024-11-02,NA,15
"wk inc flu hosp","28",1,2024-11-02,NA,15
"wk inc flu hosp","28",2,2024-11-02,NA,15
"wk inc flu hosp","28",3,2024-11-02,NA,15
"wk inc flu hosp","30",0,2024-11-02,NA,0
"wk inc flu hosp","30",1,2024-11-02,NA,0
"wk inc flu hosp","30",2,2024-11-02,NA,0
"wk inc flu hosp","30",3,2024-11-02,NA,0
"wk inc flu hosp","37",0,2024-11-02,NA,14
"wk inc flu hosp","37",1,2024-11-02,NA,14
"wk inc flu hosp","37",2,2024-11-02,NA,14
"wk inc flu hosp","37",3,2024-11-02,NA,14
"wk inc flu hosp","38",0,2024-11-02,NA,2
"wk inc flu hosp","38",1,2024-11-02,NA,2
"wk inc flu hosp","38",2,2024-11-02,NA,2
"wk inc flu hosp","38",3,2024-11-02,NA,2
"wk inc flu hosp","31",0,2024-11-02,NA,2
"wk inc flu hosp","31",1,2024-11-02,NA,2
"wk inc flu hosp","31",2,2024-11-02,NA,2
"wk inc flu hosp","31",3,2024-11-02,NA,2
"wk inc flu hosp","33",0,2024-11-02,NA,1
"wk inc flu hosp","33",1,2024-11-02,NA,1
"wk inc flu hosp","33",2,2024-11-02,NA,1
"wk inc flu hosp","33",3,2024-11-02,NA,1
"wk inc flu hosp","34",0,2024-11-02,NA,28
"wk inc flu hosp","34",1,2024-11-02,NA,28
"wk inc flu hosp","34",2,2024-11-02,NA,28
"wk inc flu hosp","34",3,2024-11-02,NA,28
"wk inc flu hosp","35",0,2024-11-02,NA,2
"wk inc flu hosp","35",1,2024-11-02,NA,2
"wk inc flu hosp","35",2,2024-11-02,NA,2
"wk inc flu hosp","35",3,2024-11-02,NA,2
"wk inc flu hosp","32",0,2024-11-02,NA,11
"wk inc flu hosp","32",1,2024-11-02,NA,11
"wk inc flu hosp","32",2,2024-11-02,NA,11
"wk inc flu hosp","32",3,2024-11-02,NA,11
"wk inc flu hosp","36",0,2024-11-02,NA,15
"wk inc flu hosp","36",1,2024-11-02,NA,15
"wk inc flu hosp","36",2,2024-11-02,NA,15
"wk inc flu hosp","36",3,2024-11-02,NA,15
"wk inc flu hosp","39",0,2024-11-02,NA,17
"wk inc flu hosp","39",1,2024-11-02,NA,17
"wk inc flu hosp","39",2,2024-11-02,NA,17
"wk inc flu hosp","39",3,2024-11-02,NA,17
"wk inc flu hosp","40",0,2024-11-02,NA,3
"wk inc flu hosp","40",1,2024-11-02,NA,3
"wk inc flu hosp","40",2,2024-11-02,NA,3
"wk inc flu hosp","40",3,2024-11-02,NA,3
"wk inc flu hosp","41",0,2024-11-02,NA,7
"wk inc flu hosp","41",1,2024-11-02,NA,7
"wk inc flu hosp","41",2,2024-11-02,NA,7
"wk inc flu hosp","41",3,2024-11-02,NA,7
"wk inc flu hosp","42",0,2024-11-02,NA,97
"wk inc flu hosp","42",1,2024-11-02,NA,97
"wk inc flu hosp","42",2,2024-11-02,NA,97
"wk inc flu hosp","42",3,2024-11-02,NA,97
"wk inc flu hosp","72",0,2024-11-02,NA,15
"wk inc flu hosp","72",1,2024-11-02,NA,15
"wk inc flu hosp","72",2,2024-11-02,NA,15
"wk inc flu hosp","72",3,2024-11-02,NA,15
"wk inc flu hosp","44",0,2024-11-02,NA,2
"wk inc flu hosp","44",1,2024-11-02,NA,2
"wk inc flu hosp","44",2,2024-11-02,NA,2
"wk inc flu hosp","44",3,2024-11-02,NA,2
"wk inc flu hosp","45",0,2024-11-02,NA,11
"wk inc flu hosp","45",1,2024-11-02,NA,11
"wk inc flu hosp","45",2,2024-11-02,NA,11
"wk inc flu hosp","45",3,2024-11-02,NA,11
"wk inc flu hosp","46",0,2024-11-02,NA,0
"wk inc flu hosp","46",1,2024-11-02,NA,0
"wk inc flu hosp","46",2,2024-11-02,NA,0
"wk inc flu hosp","46",3,2024-11-02,NA,0
"wk inc flu hosp","47",0,2024-11-02,NA,45
"wk inc flu hosp","47",1,2024-11-02,NA,45
"wk inc flu hosp","47",2,2024-11-02,NA,45
"wk inc flu hosp","47",3,2024-11-02,NA,45
"wk inc flu hosp","48",0,2024-11-02,NA,103
"wk inc flu hosp","48",1,2024-11-02,NA,103
"wk inc flu hosp","48",2,2024-11-02,NA,103
"wk inc flu hosp","48",3,2024-11-02,NA,103
"wk inc flu hosp","US",0,2024-11-02,NA,977
"wk inc flu hosp","US",1,2024-11-02,NA,977
"wk inc flu hosp","US",2,2024-11-02,NA,977
"wk inc flu hosp","US",3,2024-11-02,NA,977
"wk inc flu hosp","49",0,2024-11-02,NA,2
"wk inc flu hosp","49",1,2024-11-02,NA,2
"wk inc flu hosp","49",2,2024-11-02,NA,2
"wk inc flu hosp","49",3,2024-11-02,NA,2
"wk inc flu hosp","51",0,2024-11-02,NA,16
"wk inc flu hosp","51",1,2024-11-02,NA,16
"wk inc flu hosp","51",2,2024-11-02,NA,16
"wk inc flu hosp","51",3,2024-11-02,NA,16
"wk inc flu hosp","50",0,2024-11-02,NA,0
"wk inc flu hosp","50",1,2024-11-02,NA,0
"wk inc flu hosp","50",2,2024-11-02,NA,0
"wk inc flu hosp","50",3,2024-11-02,NA,0
"wk inc flu hosp","53",0,2024-11-02,NA,2
"wk inc flu hosp","53",1,2024-11-02,NA,2
"wk inc flu hosp","53",2,2024-11-02,NA,2
"wk inc flu hosp","53",3,2024-11-02,NA,2
"wk inc flu hosp","55",0,2024-11-02,NA,5
"wk inc flu hosp","55",1,2024-11-02,NA,5
"wk inc flu hosp","55",2,2024-11-02,NA,5
"wk inc flu hosp","55",3,2024-11-02,NA,5
"wk inc flu hosp","54",0,2024-11-02,NA,0
"wk inc flu hosp","54",1,2024-11-02,NA,0
"wk inc flu hosp","54",2,2024-11-02,NA,0
"wk inc flu hosp","54",3,2024-11-02,NA,0
"wk inc flu hosp","56",0,2024-11-02,NA,0
"wk inc flu hosp","56",1,2024-11-02,NA,0
"wk inc flu hosp","56",2,2024-11-02,NA,0
"wk inc flu hosp","56",3,2024-11-02,NA,0
"wk inc flu hosp","02",0,2024-11-09,NA,5
"wk inc flu hosp","02",1,2024-11-09,NA,5
"wk inc flu hosp","02",2,2024-11-09,NA,5
"wk inc flu hosp","02",3,2024-11-09,NA,5
"wk inc flu hosp","01",0,2024-11-09,NA,32
"wk inc flu hosp","01",1,2024-11-09,NA,32
"wk inc flu hosp","01",2,2024-11-09,NA,32
"wk inc flu hosp","01",3,2024-11-09,NA,32
"wk inc flu hosp","05",0,2024-11-09,NA,11
"wk inc flu hosp","05",1,2024-11-09,NA,11
"wk inc flu hosp","05",2,2024-11-09,NA,11
"wk inc flu hosp","05",3,2024-11-09,NA,11
"wk inc flu hosp","04",0,2024-11-09,NA,262
"wk inc flu hosp","04",1,2024-11-09,NA,262
"wk inc flu hosp","04",2,2024-11-09,NA,262
"wk inc flu hosp","04",3,2024-11-09,NA,262
"wk inc flu hosp","06",0,2024-11-09,NA,159
"wk inc flu hosp","06",1,2024-11-09,NA,159
"wk inc flu hosp","06",2,2024-11-09,NA,159
"wk inc flu hosp","06",3,2024-11-09,NA,159
"wk inc flu hosp","08",0,2024-11-09,NA,20
"wk inc flu hosp","08",1,2024-11-09,NA,20
"wk inc flu hosp","08",2,2024-11-09,NA,20
"wk inc flu hosp","08",3,2024-11-09,NA,20
"wk inc flu hosp","09",0,2024-11-09,NA,4
"wk inc flu hosp","09",1,2024-11-09,NA,4
"wk inc flu hosp","09",2,2024-11-09,NA,4
"wk inc flu hosp","09",3,2024-11-09,NA,4
"wk inc flu hosp","11",0,2024-11-09,NA,3
"wk inc flu hosp","11",1,2024-11-09,NA,3
"wk inc flu hosp","11",2,2024-11-09,NA,3
"wk inc flu hosp","11",3,2024-11-09,NA,3
"wk inc flu hosp","10",0,2024-11-09,NA,1
"wk inc flu hosp","10",1,2024-11-09,NA,1
"wk inc flu hosp","10",2,2024-11-09,NA,1
"wk inc flu hosp","10",3,2024-11-09,NA,1
"wk inc flu hosp","12",0,2024-11-09,NA,360
"wk inc flu hosp","12",1,2024-11-09,NA,360
"wk inc flu hosp","12",2,2024-11-09,NA,360
"wk inc flu hosp","12",3,2024-11-09,NA,360
"wk inc flu hosp","13",0,2024-11-09,NA,41
"wk inc flu hosp","13",1,2024-11-09,NA,41
"wk inc flu hosp","13",2,2024-11-09,NA,41
"wk inc flu hosp","13",3,2024-11-09,NA,41
"wk inc flu hosp","15",0,2024-11-09,NA,7
"wk inc flu hosp","15",1,2024-11-09,NA,7
"wk inc flu hosp","15",2,2024-11-09,NA,7
"wk inc flu hosp","15",3,2024-11-09,NA,7
"wk inc flu hosp","19",0,2024-11-09,NA,4
"wk inc flu hosp","19",1,2024-11-09,NA,4
"wk inc flu hosp","19",2,2024-11-09,NA,4
"wk inc flu hosp","19",3,2024-11-09,NA,4
"wk inc flu hosp","16",0,2024-11-09,NA,8
"wk inc flu hosp","16",1,2024-11-09,NA,8
"wk inc flu hosp","16",2,2024-11-09,NA,8
"wk inc flu hosp","16",3,2024-11-09,NA,8
"wk inc flu hosp","17",0,2024-11-09,NA,36
"wk inc flu hosp","17",1,2024-11-09,NA,36
"wk inc flu hosp","17",2,2024-11-09,NA,36
"wk inc flu hosp","17",3,2024-11-09,NA,36
"wk inc flu hosp","18",0,2024-11-09,NA,28
"wk inc flu hosp","18",1,2024-11-09,NA,28
"wk inc flu hosp","18",2,2024-11-09,NA,28
"wk inc flu hosp","18",3,2024-11-09,NA,28
"wk inc flu hosp","20",0,2024-11-09,NA,7
"wk inc flu hosp","20",1,2024-11-09,NA,7
"wk inc flu hosp","20",2,2024-11-09,NA,7
"wk inc flu hosp","20",3,2024-11-09,NA,7
"wk inc flu hosp","21",0,2024-11-09,NA,16
"wk inc flu hosp","21",1,2024-11-09,NA,16
"wk inc flu hosp","21",2,2024-11-09,NA,16
"wk inc flu hosp","21",3,2024-11-09,NA,16
"wk inc flu hosp","22",0,2024-11-09,NA,85
"wk inc flu hosp","22",1,2024-11-09,NA,85
"wk inc flu hosp","22",2,2024-11-09,NA,85
"wk inc flu hosp","22",3,2024-11-09,NA,85
"wk inc flu hosp","25",0,2024-11-09,NA,30
"wk inc flu hosp","25",1,2024-11-09,NA,30
"wk inc flu hosp","25",2,2024-11-09,NA,30
"wk inc flu hosp","25",3,2024-11-09,NA,30
"wk inc flu hosp","24",0,2024-11-09,NA,9
"wk inc flu hosp","24",1,2024-11-09,NA,9
"wk inc flu hosp","24",2,2024-11-09,NA,9
"wk inc flu hosp","24",3,2024-11-09,NA,9
"wk inc flu hosp","23",0,2024-11-09,NA,1
"wk inc flu hosp","23",1,2024-11-09,NA,1
"wk inc flu hosp","23",2,2024-11-09,NA,1
"wk inc flu hosp","23",3,2024-11-09,NA,1
"wk inc flu hosp","26",0,2024-11-09,NA,36
"wk inc flu hosp","26",1,2024-11-09,NA,36
"wk inc flu hosp","26",2,2024-11-09,NA,36
"wk inc flu hosp","26",3,2024-11-09,NA,36
"wk inc flu hosp","27",0,2024-11-09,NA,17
"wk inc flu hosp","27",1,2024-11-09,NA,17
"wk inc flu hosp","27",2,2024-11-09,NA,17
"wk inc flu hosp","27",3,2024-11-09,NA,17
"wk inc flu hosp","29",0,2024-11-09,NA,30
"wk inc flu hosp","29",1,2024-11-09,NA,30
"wk inc flu hosp","29",2,2024-11-09,NA,30
"wk inc flu hosp","29",3,2024-11-09,NA,30
"wk inc flu hosp","28",0,2024-11-09,NA,23
"wk inc flu hosp","28",1,2024-11-09,NA,23
"wk inc flu hosp","28",2,2024-11-09,NA,23
"wk inc flu hosp","28",3,2024-11-09,NA,23
"wk inc flu hosp","30",0,2024-11-09,NA,0
"wk inc flu hosp","30",1,2024-11-09,NA,0
"wk inc flu hosp","30",2,2024-11-09,NA,0
"wk inc flu hosp","30",3,2024-11-09,NA,0
"wk inc flu hosp","37",0,2024-11-09,NA,27
"wk inc flu hosp","37",1,2024-11-09,NA,27
"wk inc flu hosp","37",2,2024-11-09,NA,27
"wk inc flu hosp","37",3,2024-11-09,NA,27
"wk inc flu hosp","38",0,2024-11-09,NA,0
"wk inc flu hosp","38",1,2024-11-09,NA,0
"wk inc flu hosp","38",2,2024-11-09,NA,0
"wk inc flu hosp","38",3,2024-11-09,NA,0
"wk inc flu hosp","31",0,2024-11-09,NA,4
"wk inc flu hosp","31",1,2024-11-09,NA,4
"wk inc flu hosp","31",2,2024-11-09,NA,4
"wk inc flu hosp","31",3,2024-11-09,NA,4
"wk inc flu hosp","33",0,2024-11-09,NA,5
"wk inc flu hosp","33",1,2024-11-09,NA,5
"wk inc flu hosp","33",2,2024-11-09,NA,5
"wk inc flu hosp","33",3,2024-11-09,NA,5
"wk inc flu hosp","34",0,2024-11-09,NA,30
"wk inc flu hosp","34",1,2024-11-09,NA,30
"wk inc flu hosp","34",2,2024-11-09,NA,30
"wk inc flu hosp","34",3,2024-11-09,NA,30
"wk inc flu hosp","35",0,2024-11-09,NA,16
"wk inc flu hosp","35",1,2024-11-09,NA,16
"wk inc flu hosp","35",2,2024-11-09,NA,16
"wk inc flu hosp","35",3,2024-11-09,NA,16
"wk inc flu hosp","32",0,2024-11-09,NA,25
"wk inc flu hosp","32",1,2024-11-09,NA,25
"wk inc flu hosp","32",2,2024-11-09,NA,25
"wk inc flu hosp","32",3,2024-11-09,NA,25
"wk inc flu hosp","36",0,2024-11-09,NA,55
"wk inc flu hosp","36",1,2024-11-09,NA,55
"wk inc flu hosp","36",2,2024-11-09,NA,55
"wk inc flu hosp","36",3,2024-11-09,NA,55
"wk inc flu hosp","39",0,2024-11-09,NA,24
"wk inc flu hosp","39",1,2024-11-09,NA,24
"wk inc flu hosp","39",2,2024-11-09,NA,24
"wk inc flu hosp","39",3,2024-11-09,NA,24
"wk inc flu hosp","40",0,2024-11-09,NA,13
"wk inc flu hosp","40",1,2024-11-09,NA,13
"wk inc flu hosp","40",2,2024-11-09,NA,13
"wk inc flu hosp","40",3,2024-11-09,NA,13
"wk inc flu hosp","41",0,2024-11-09,NA,25
"wk inc flu hosp","41",1,2024-11-09,NA,25
"wk inc flu hosp","41",2,2024-11-09,NA,25
"wk inc flu hosp","41",3,2024-11-09,NA,25
"wk inc flu hosp","42",0,2024-11-09,NA,142
"wk inc flu hosp","42",1,2024-11-09,NA,142
"wk inc flu hosp","42",2,2024-11-09,NA,142
"wk inc flu hosp","42",3,2024-11-09,NA,142
"wk inc flu hosp","72",0,2024-11-09,NA,119
"wk inc flu hosp","72",1,2024-11-09,NA,119
"wk inc flu hosp","72",2,2024-11-09,NA,119
"wk inc flu hosp","72",3,2024-11-09,NA,119
"wk inc flu hosp","44",0,2024-11-09,NA,3
"wk inc flu hosp","44",1,2024-11-09,NA,3
"wk inc flu hosp","44",2,2024-11-09,NA,3
"wk inc flu hosp","44",3,2024-11-09,NA,3
"wk inc flu hosp","45",0,2024-11-09,NA,21
"wk inc flu hosp","45",1,2024-11-09,NA,21
"wk inc flu hosp","45",2,2024-11-09,NA,21
"wk inc flu hosp","45",3,2024-11-09,NA,21
"wk inc flu hosp","46",0,2024-11-09,NA,2
"wk inc flu hosp","46",1,2024-11-09,NA,2
"wk inc flu hosp","46",2,2024-11-09,NA,2
"wk inc flu hosp","46",3,2024-11-09,NA,2
"wk inc flu hosp","47",0,2024-11-09,NA,80
"wk inc flu hosp","47",1,2024-11-09,NA,80
"wk inc flu hosp","47",2,2024-11-09,NA,80
"wk inc flu hosp","47",3,2024-11-09,NA,80
"wk inc flu hosp","48",0,2024-11-09,NA,182
"wk inc flu hosp","48",1,2024-11-09,NA,182
"wk inc flu hosp","48",2,2024-11-09,NA,182
"wk inc flu hosp","48",3,2024-11-09,NA,182
"wk inc flu hosp","US",0,2024-11-09,NA,2081
"wk inc flu hosp","US",1,2024-11-09,NA,2081
"wk inc flu hosp","US",2,2024-11-09,NA,2081
"wk inc flu hosp","US",3,2024-11-09,NA,2081
"wk inc flu hosp","49",0,2024-11-09,NA,7
"wk inc flu hosp","49",1,2024-11-09,NA,7
"wk inc flu hosp","49",2,2024-11-09,NA,7
"wk inc flu hosp","49",3,2024-11-09,NA,7
"wk inc flu hosp","51",0,2024-11-09,NA,26
"wk inc flu hosp","51",1,2024-11-09,NA,26
"wk inc flu hosp","51",2,2024-11-09,NA,26
"wk inc flu hosp","51",3,2024-11-09,NA,26
"wk inc flu hosp","50",0,2024-11-09,NA,0
"wk inc flu hosp","50",1,2024-11-09,NA,0
"wk inc flu hosp","50",2,2024-11-09,NA,0
"wk inc flu hosp","50",3,2024-11-09,NA,0
"wk inc flu hosp","53",0,2024-11-09,NA,14
"wk inc flu hosp","53",1,2024-11-09,NA,14
"wk inc flu hosp","53",2,2024-11-09,NA,14
"wk inc flu hosp","53",3,2024-11-09,NA,14
"wk inc flu hosp","55",0,2024-11-09,NA,12
"wk inc flu hosp","55",1,2024-11-09,NA,12
"wk inc flu hosp","55",2,2024-11-09,NA,12
"wk inc flu hosp","55",3,2024-11-09,NA,12
"wk inc flu hosp","54",0,2024-11-09,NA,6
"wk inc flu hosp","54",1,2024-11-09,NA,6
"wk inc flu hosp","54",2,2024-11-09,NA,6
"wk inc flu hosp","54",3,2024-11-09,NA,6
"wk inc flu hosp","56",0,2024-11-09,NA,5
"wk inc flu hosp","56",1,2024-11-09,NA,5
"wk inc flu hosp","56",2,2024-11-09,NA,5
"wk inc flu hosp","56",3,2024-11-09,NA,5
"wk inc flu hosp","02",0,2024-11-16,NA,9
"wk inc flu hosp","02",1,2024-11-16,NA,9
"wk inc flu hosp","02",2,2024-11-16,NA,9
"wk inc flu hosp","02",3,2024-11-16,NA,9
"wk inc flu hosp","01",0,2024-11-16,NA,44
"wk inc flu hosp","01",1,2024-11-16,NA,44
"wk inc flu hosp","01",2,2024-11-16,NA,44
"wk inc flu hosp","01",3,2024-11-16,NA,44
"wk inc flu hosp","05",0,2024-11-16,NA,13
"wk inc flu hosp","05",1,2024-11-16,NA,13
"wk inc flu hosp","05",2,2024-11-16,NA,13
"wk inc flu hosp","05",3,2024-11-16,NA,13
"wk inc flu hosp","04",0,2024-11-16,NA,329
"wk inc flu hosp","04",1,2024-11-16,NA,329
"wk inc flu hosp","04",2,2024-11-16,NA,329
"wk inc flu hosp","04",3,2024-11-16,NA,329
"wk inc flu hosp","06",0,2024-11-16,NA,313
"wk inc flu hosp","06",1,2024-11-16,NA,313
"wk inc flu hosp","06",2,2024-11-16,NA,313
"wk inc flu hosp","06",3,2024-11-16,NA,313
"wk inc flu hosp","08",0,2024-11-16,NA,29
"wk inc flu hosp","08",1,2024-11-16,NA,29
"wk inc flu hosp","08",2,2024-11-16,NA,29
"wk inc flu hosp","08",3,2024-11-16,NA,29
"wk inc flu hosp","09",0,2024-11-16,NA,5
"wk inc flu hosp","09",1,2024-11-16,NA,5
"wk inc flu hosp","09",2,2024-11-16,NA,5
"wk inc flu hosp","09",3,2024-11-16,NA,5
"wk inc flu hosp","11",0,2024-11-16,NA,1
"wk inc flu hosp","11",1,2024-11-16,NA,1
"wk inc flu hosp","11",2,2024-11-16,NA,1
"wk inc flu hosp","11",3,2024-11-16,NA,1
"wk inc flu hosp","10",0,2024-11-16,NA,4
"wk inc flu hosp","10",1,2024-11-16,NA,4
"wk inc flu hosp","10",2,2024-11-16,NA,4
"wk inc flu hosp","10",3,2024-11-16,NA,4
"wk inc flu hosp","12",0,2024-11-16,NA,375
"wk inc flu hosp","12",1,2024-11-16,NA,375
"wk inc flu hosp","12",2,2024-11-16,NA,375
"wk inc flu hosp","12",3,2024-11-16,NA,375
"wk inc flu hosp","13",0,2024-11-16,NA,44
"wk inc flu hosp","13",1,2024-11-16,NA,44
"wk inc flu hosp","13",2,2024-11-16,NA,44
"wk inc flu hosp","13",3,2024-11-16,NA,44
"wk inc flu hosp","15",0,2024-11-16,NA,15
"wk inc flu hosp","15",1,2024-11-16,NA,15
"wk inc flu hosp","15",2,2024-11-16,NA,15
"wk inc flu hosp","15",3,2024-11-16,NA,15
"wk inc flu hosp","19",0,2024-11-16,NA,5
"wk inc flu hosp","19",1,2024-11-16,NA,5
"wk inc flu hosp","19",2,2024-11-16,NA,5
"wk inc flu hosp","19",3,2024-11-16,NA,5
"wk inc flu hosp","16",0,2024-11-16,NA,12
"wk inc flu hosp","16",1,2024-11-16,NA,12
"wk inc flu hosp","16",2,2024-11-16,NA,12
"wk inc flu hosp","16",3,2024-11-16,NA,12
"wk inc flu hosp","17",0,2024-11-16,NA,34
"wk inc flu hosp","17",1,2024-11-16,NA,34
"wk inc flu hosp","17",2,2024-11-16,NA,34
"wk inc flu hosp","17",3,2024-11-16,NA,34
"wk inc flu hosp","18",0,2024-11-16,NA,26
"wk inc flu hosp","18",1,2024-11-16,NA,26
"wk inc flu hosp","18",2,2024-11-16,NA,26
"wk inc flu hosp","18",3,2024-11-16,NA,26
"wk inc flu hosp","20",0,2024-11-16,NA,11
"wk inc flu hosp","20",1,2024-11-16,NA,11
"wk inc flu hosp","20",2,2024-11-16,NA,11
"wk inc flu hosp","20",3,2024-11-16,NA,11
"wk inc flu hosp","21",0,2024-11-16,NA,18
"wk inc flu hosp","21",1,2024-11-16,NA,18
"wk inc flu hosp","21",2,2024-11-16,NA,18
"wk inc flu hosp","21",3,2024-11-16,NA,18
"wk inc flu hosp","22",0,2024-11-16,NA,84
"wk inc flu hosp","22",1,2024-11-16,NA,84
"wk inc flu hosp","22",2,2024-11-16,NA,84
"wk inc flu hosp","22",3,2024-11-16,NA,84
"wk inc flu hosp","25",0,2024-11-16,NA,16
"wk inc flu hosp","25",1,2024-11-16,NA,16
"wk inc flu hosp","25",2,2024-11-16,NA,16
"wk inc flu hosp","25",3,2024-11-16,NA,16
"wk inc flu hosp","24",0,2024-11-16,NA,11
"wk inc flu hosp","24",1,2024-11-16,NA,11
"wk inc flu hosp","24",2,2024-11-16,NA,11
"wk inc flu hosp","24",3,2024-11-16,NA,11
"wk inc flu hosp","23",0,2024-11-16,NA,0
"wk inc flu hosp","23",1,2024-11-16,NA,0
"wk inc flu hosp","23",2,2024-11-16,NA,0
"wk inc flu hosp","23",3,2024-11-16,NA,0
"wk inc flu hosp","26",0,2024-11-16,NA,46
"wk inc flu hosp","26",1,2024-11-16,NA,46
"wk inc flu hosp","26",2,2024-11-16,NA,46
"wk inc flu hosp","26",3,2024-11-16,NA,46
